,native,native,TCEP,TCEP,peroxide,peroxide
,conc (uM),[M]/[T],conc (uM),[M]/[T],conc (uM),[M]/[T]
0,100.0,0.14411479671013525,100.0,0.0691077135748916,100.0,0.4117090146718641
1,50.0,0.16566721390571398,50.0,0.07533122263153859,50.0,0.4785855542877453
2,25.0,0.2151778460494172,25.0,0.29946978698936,25.0,0.5235480068963086
3,12.5,0.2803543263650518,12.5,0.3673064748837576,12.5,0.5927518426362043
4,6.25,0.37087108681224223,6.25,0.40930758738439055,6.25,0.6525257090728147
5,3.125,0.3871677606729006,3.125,0.4207541297676761,3.125,0.6600433212187106
6,1.5625,0.5242677024024954,1.5625,0.49019740796271427,1.5625,0.6699605801920334
7,0.78125,0.7297913643055869,0.78125,0.5748802892602366,0.78125,0.8327384715479093
